pet_sno,user_sno,target_no,name,birth,fat
pCWl2FqPxZNsVTEj2jhhH,udil4ntHycrAuYDHyeXMx,4,.,2020-01-01,2
pArwbN8I6A67StY48vGFD,u2Qz894qG65o71gI9GPI3,6,.,2020-01-01,4
pr9m3hAJzMmzP9RjJdtre,uvJGvFrF2kW1Bs26oRdJC,1,.,2020-01-01,1
pIsbvQcstiGsLntswiKNQ,uDAsuGpF7OQ9OrdazqBvH,3,.,2020-01-01,3
pTFl3iu0Bn7fiKCb9aNUo,uom65g4ZP2ouLEszyeqHI,6,.,2020-01-01,1
plpP0HZ1yrKdkTbZpLOO0,uRPeYc29qeV4vxZNNwlDy,7,.,2020-01-01,3
pKRyxVIVvl96E8rAEwZok,u2ei9F3RGShh9GQUlqAuP,4,.,2020-01-01,3
pvo36ts7M84R8Wa8ps9ml,uPWSWpOXXz9hYP83jAyOK,3,.,2020-01-01,4
p1zc6OTwYgjeYQDuIJqbt,urLaD6iRynxnWuHO3uyb8,1,.,2020-01-01,3
piszhyaj2fLsQXFzzWZ4m,u8MLQNmhq8EZ18Skn0avN,3,.,2020-01-01,3
pA54wzny3hjowWXClCzLV,ut0zy4V3TfnZIyylmZpHo,3,.,2020-01-01,3
pOSfVql6CZYxpqL6GRvVq,ulWmyVDCdRkEh4z0TmhJ2,2,.,2020-01-01,3
p8K1cbW6UpQDpt1khsdG4,uqNENZpf3ijtQswsDZm8u,1,.,2020-01-01,4
pHLhEzoEZTFjJGvZTXgTp,uCokzLbghQef2SvXyOs69,1,.,2020-01-01,4
pCeU8eenHfzoGc5m32yr0,uITONmduQUfMjBiJhLvjO,2,.,2020-01-01,5
pakhtHuM8JcpdvwgwnRyF,uucUWhLTouMxh86ULikKX,4,.,2020-01-01,2
pFKuAJT4LKJHIRkF4d1z1,uM1Jp9Da6SAqk3zieIZNk,6,.,2020-01-01,3
poJBm0lyBaVaeKTh8O65V,uj7gE5sxUNitMNxp49MIF,3,.,2020-01-01,1
pDdEtjgPX3zT6bdPUsysM,usCIKUMBQXzP3GkYpFpXl,5,.,2020-01-01,1
p7ia8bqnZarrvg5p7h3zi,uUSZpDQ3sVkXpJk9uT162,5,.,2020-01-01,3
p67hQbUwLpOtAabudtUSt,uyrXXRGkjj3UJ5sZXhY3k,3,.,2020-01-01,1
pojSjNkB0W3LAqaaeCF39,u0ocnHLD3ByVYKvHiO9bL,4,.,2020-01-01,5
pRZD9mVU3Z6pjVHAYKYKY,upzeBlSoaLYfvsbfDSmsr,4,.,2020-01-01,3
p37oBKtZM5u8HZoxfYGfg,uL7SPPrbyQdR0PpwKSUYi,4,.,2020-01-01,5
pQt7iVmiiT2rX7az9NqAe,u4TCPz7WqDse5IDIPeqBU,2,.,2020-01-01,4
p0VNY0jKyDYgTugdMjkUN,uLoocg921L3KngwJEi7I1,5,.,2020-01-01,1
pgGh5ljCHMDOCBSHTS0Sg,ubCOb6JtxWt1Uqz5cIpwd,3,.,2020-01-01,2
pQEDExBlN1cu36YBCGEOn,u5YSlpp0jjYsUTN2Mqt8x,6,.,2020-01-01,1
pRZdCAKjlIwctJdp9Xt9B,uesMYhHp7AlnQJOhab4Eh,3,.,2020-01-01,5
pIlHOxjC70kOZCLrnjz2D,uYshrNObKTDWZfdzXckrd,5,.,2020-01-01,3
pjaHfOOUaEraODkkSA92r,uBYhFMhFpYLvm7IYnWS20,6,.,2020-01-01,3
pCKhcLFTk25bSaPgsQaX9,uFE8DLLEYeXhWu0RBpFMI,3,.,2020-01-01,4
pFQGbmvQoYSYCFkaXSPW2,u8VtEovM6kJQLK4r0P2vq,7,.,2020-01-01,5
pVYJ0niHnQ0Z0A6RVHqcZ,ufc1R2j4kAKYub5wv754S,4,.,2020-01-01,3
pNQxWlJfUt1gvncv9KF7W,uGyY7kSxqXbHvhdJqpB2l,3,.,2020-01-01,4
p09cIsG6s1xTzzNIo3sbf,umyQjUlA9srjAGXHd28nr,2,.,2020-01-01,3
pRHdteHLC4zTvCZJzeSRU,u8AwQiP3gct4qWn9621RT,6,.,2020-01-01,1
p6tVwarz9KlvLiFxIGz44,uQ6eWOb2wIau0qXf0TV3M,6,.,2020-01-01,3
p2BZO7QZ5AdXn507SM95B,uDgkJcFefalZH7D4ov5OU,1,.,2020-01-01,1
paVSkZIPiiareiESDByvz,uaPaGUYZoTPTfTJ7F8WBV,6,.,2020-01-01,2
pzNENNp5nZpArsowkxfx5,us9Hqneu1TlhnqEu5XeIG,3,.,2020-01-01,2
pQ1m57d0E9JXkMiJBRuqH,utOQXBcXMSvgekGHwvKWZ,1,.,2020-01-01,4
pkLe7bnvnR4jWn2X4SYLm,uq2IhmkbOKr92w0NnZxti,7,.,2020-01-01,2
p9jXlXfvnkdz8XZxcus5p,uRO7BC6xn7T2SGuPHE1Ba,7,.,2020-01-01,3
pTiQM0RpnmVy6AUF1Zshx,ubFYzmhJ0AQcjFmgq1O5E,5,.,2020-01-01,2
pB46yqHwn1vppRY2JylPr,uyy8mKhJxld3HsXTjjBaQ,6,.,2020-01-01,1
pBsBoAXpq14LEf1KCVcut,uFrDURv3rxm1zdcgBbobZ,2,.,2020-01-01,4
ppdmOZOh2PeVKOHzxmsoc,uHVLA2uQ9vDo4a32a2BHG,5,.,2020-01-01,1
pBXioXuRXQhovcglmeFQT,uIUKYZHBc8a7TGXFYMCod,5,.,2020-01-01,5
p9akRQTmMPedLiMc2Cdk3,ujmeUwiYRyx6MLeEnqwiW,1,.,2020-01-01,3
prM0g8pEw5yCoIWPTVQ4t,uKSovHAKbpxDLIFUfipnl,2,.,2020-01-01,1
p2Hx8qeRQJQbNOCo9b4qj,uwaRWLeJdEm8bPCbt07Xg,1,.,2020-01-01,1
phU2DQGLtazJnaLZz6lp1,uQmYJPK48q0qkH2sRzobI,7,.,2020-01-01,2
pFYHgsD8GPAPwYb5f2cxc,uqDoxdgKpXXiIdTfYEez8,3,.,2020-01-01,4
pfPrdz6AzG4sGZNGx7IVc,unA2YRieDEBBsLQzWbgit,7,.,2020-01-01,5
pNak00Anpk53JSocX1Y81,ugRsR7VNQdA2AKru3JVLO,5,.,2020-01-01,3
pqGPIc7mGDSqr7ZGFgjC6,ucni9onisdv5wt1fQ8fvb,2,.,2020-01-01,3
pd6jasNynODIJKr1hR3GB,ugMRM1155CrLFd1qdTVX4,1,.,2020-01-01,5
pRPPtGhtyIchgLh4bNSh1,uUXclwLk5GSMjRuCrfKdB,3,.,2020-01-01,3
pLjY51WpoJfl9PQhWVyU2,u8dWEr889ixylcon92uQ6,5,.,2020-01-01,5
pB439TY2DLVZ9l2KTDdpy,uQos6kEdtGrwjZGpe5XiO,4,.,2020-01-01,2
pPi6yfNbXNvJfwNZRZigZ,uVPpxW6NLSM0YakafB7pS,3,.,2020-01-01,4
pEuTrxe8H0myZTSkmzza1,ugJtZGQQ3Xnumcnl4OON7,7,.,2020-01-01,3
pCj9pbSL9LwXnIwouZ27J,uUvCBwEzHtmnMwk9ibkZH,4,.,2020-01-01,3
pi4lUYMablTpyvf5ImbEO,uZMUOnw8pkCrGzE8ubGuD,4,.,2020-01-01,5
pvg5BVpwiwpynaL9Krr3W,uC0P0tNWBYdgVD0k8TUFs,4,.,2020-01-01,2
pL8P8TeO5jNkU4ylndxeY,uWchiyf9LQIRGpvWnFdId,2,.,2020-01-01,1
pSiDyAZXJ2OD3TAX0MMBo,u3aBdq0nXK6XEkmz7Jd5N,3,.,2020-01-01,1
pqbIL7cdBuAckZsf49ERK,uRfOmTWQwnQo922BeOJI3,5,.,2020-01-01,3
p0Yk9dGIkFJFf00AbzIQs,uGlQotcZb6mvjJS5VPCDx,3,.,2020-01-01,5
pXMXYE2eX6O5FjZoD8swM,ukYefWQyhys15TxhnRWe0,2,.,2020-01-01,4
pxlh5WU24BMKvcdsWwf3x,uXmrU6jlW1YwooClKcihm,1,.,2020-01-01,1
pK1uutnGd96mMFkiecTGp,udcYwuRiyELZOQ5xAIvrI,5,.,2020-01-01,1
pT6ZiPGOkF8OBwMfnLxqK,u2RuFCCNpSKibEZ0iKDSQ,2,.,2020-01-01,1
prBuPSPAvFdaw67mWUJsF,uKReKg2Frej04AiWt3USM,5,.,2020-01-01,3
pmNL2uoMGGU0ejsLiqAjE,ufjqCqhoIS1VQsFCGW7Za,7,.,2020-01-01,4
peCOQJ4z07EE3rz0cMyy2,ujbeWTlu9vNTyJ7tkbxqT,1,.,2020-01-01,1
pnZs2lYBcRlEIYzrMfi60,uOYD4SM29UfSBYcrhByY2,3,.,2020-01-01,5
pj0nQZX95SrZezFUd84Yb,uqyazHsPVb1I4DqBYTZPS,2,.,2020-01-01,3
pvsnlrlKE3SjGgraJrk58,uzMvxHQ2WG9bt7dbP73Yn,5,.,2020-01-01,3
prHHjJSrKQLRCPdqJg0yP,ut38244spgsfmDtWMl5IG,6,.,2020-01-01,5
pkCqFMqlf17vy6RoTyFzg,uN53h0rPLEGfbXONZZemz,2,.,2020-01-01,3
pl4f1TIUcaHFtseF7oF3a,uZhOD6tRV7j2cPeo3zhcM,2,.,2020-01-01,3
prPOE5Jx9wM3q2ArD6AMw,utYydTuTu031trLInAk0k,5,.,2020-01-01,1
pr6raYk5sqXoG5y6uqpHQ,ugGewFGSS7CtCQWGwIdgW,3,.,2020-01-01,4
pJ4Uh2aH8UgMavG3doS3S,ufrUKcdKMgCE961Pe3xfq,3,.,2020-01-01,5
p36kuThilbPraXJ177A6L,uYfzlHug0MM9X2snIxNAz,3,.,2020-01-01,5
pS9Ccc32toGjQ9uC6ZcRe,uRROkAHgSvIvHrpS6RTXl,4,.,2020-01-01,1
psOSPXnuzFOtMzfLZOCvN,uAG1PJ5ohpXCNW35EYB4d,1,.,2020-01-01,4
pZoEaIp22dCTQeJVlRRxq,uOpeVW6fQeMeNhPAGhg0t,4,.,2020-01-01,3
p4A9Jfq65NVNbGyvNTwkn,uMFtUIySkkDpuScRH3uVe,2,.,2020-01-01,3
pW68lSJ5f9mUPjUAC90lx,uE0tNoEj69Sx43ZlhqMh7,2,.,2020-01-01,2
pPaw9pDDxTeKnabGDDHt5,uVvtj46l4pFCve8u0rxoD,6,.,2020-01-01,2
piu3WJxgHoRItD6C0f6z9,uBr3YJSYgYr0k72mLG3BW,6,.,2020-01-01,4
pJWN46pS2L7Nud8RrzCCJ,u5IOpcNcaPFBzHe2NMPWA,4,.,2020-01-01,1
pLUDml7hdbjXsLrC5U1gA,uVGguioco5z9ablWmtaZ6,4,.,2020-01-01,4
pwzSehg8zuk9RfkJYeKZe,uQqzC1c8Ueuasmk8x9Qky,7,.,2020-01-01,1
puTOcAtYkqabK4Yk2EHB4,uMMVad14yR8ct4NUyKK03,4,.,2020-01-01,5
pRMWLz0wLnXMv3FCzl9y4,uqMTbcNVATfbBJ3hgRsc8,6,.,2020-01-01,4
pjZ75MwKRAGeDcc76FzvQ,uUbF06n1wSty5ZSE21QNl,2,.,2020-01-01,4
pGevJcWaSlHqGElULIhMQ,u6IQ4o3JK6MGx34kYznLP,1,.,2020-01-01,1
paj71d1RulPJOgtJ24G89,uOPOigNiPVuLYK4za9PUB,2,.,2020-01-01,4
pWpf9hM2fs6IiTpYFJIol,uuRCx5YcDV7L8kiZvXU9O,4,.,2020-01-01,5
pWZoRnewEusHuBNVpmmLm,uA6UDZbCcccImcTdSVq5P,6,.,2020-01-01,4
p11TGQ6Si7L3sveW7dCtr,ubZi0aJV4qZEO2OcldFJY,6,.,2020-01-01,4
pBhLzn5HJZE7j62jSxlgX,uGLWzx6vwM2LWUauHIP5p,5,.,2020-01-01,2
pVo6UNfZvUiIwo0AkFy5T,uDe2ihOZq0deU32JqcqDn,2,.,2020-01-01,5
paoqhbjUblQ0QPBdn3K2e,uMufz9ILVzMLAXvp4F3C7,6,.,2020-01-01,5
p5MRIKO1U8QDCcKofMmgD,utNCrXWPiFrrzGQ4Phskv,3,.,2020-01-01,5
pSZ0syfelTJs9JV034Jk3,uOE63p6p3HnMHh3Bb9Gh8,2,.,2020-01-01,4
pG7StevKMqtvnHROIUyhH,ugX8j5Q6rq3CzlDmBuNFo,4,.,2020-01-01,4
pjOJDIuTTinTXZYT9Tmcz,uiweByIYxgF71cFytjwPf,6,.,2020-01-01,4
plQ17wQhbE59cIu3I46Nq,upD6rWxOM5CcFXCvZLASO,7,.,2020-01-01,2
p68Go5w3DE7qihdCChj5g,u55BYjtvxNJAFCTomv42v,1,.,2020-01-01,5
paMwtHtgBBQ8VVc4bZns8,usD1QVQU06Yxl6kaR0jQY,6,.,2020-01-01,4
p35BPBhZ1a2SUB2kAv2FA,uvgEHByLflQRJsoYTjIuu,2,.,2020-01-01,5
pl43lkmB40nY2aPOSqSvl,uylWfl9Ab9DyUzyc5B8Ym,7,.,2020-01-01,4
p8xDiF0GawitCcnY58Ixl,ujPniEUBRgxdmzVU6kaMn,5,.,2020-01-01,1
pEL2M66EBuJ8i072yg5tU,umQpMBpOjoKVD4oo7tbZR,5,.,2020-01-01,2
pdwtdAU72E2hsKzEgFKVC,uPcZjkzVDXtpLyqTVbP9F,4,.,2020-01-01,4
pfTPDANhTCX0wQlL5f5Pk,uql2W0SjzjIFQaHmTFI06,2,.,2020-01-01,2
pABgzBvJ0y9x69oRXQTXf,uN4sm8b7vC9W6SWv40yho,4,.,2020-01-01,1
pY3o3WQP0TVgHcJcVokzw,upBBytu6WKcMkP7wBQDsF,1,.,2020-01-01,4
pjBaTBFPNk4mBRmfvnCZ4,uzY5OG8VA8kuNA3DXLIqs,7,.,2020-01-01,4
pGJresqont2i5VX1Jus54,u7yhkYW5Bf2kokEhXshx1,2,.,2020-01-01,1
poNmCxC0R1hY3OfHTNZ5p,u7UF6OJOObf1DdfkUyz54,2,.,2020-01-01,4
peP2fH8imFiK5zRoisG5O,uBVJtBGaMMj78cAzqwS0T,1,.,2020-01-01,2
piGhEhpbHxk1Eh7vIthtD,uiBOtk4hYuxwnc7lvji4n,5,.,2020-01-01,1
p0JkmrY430xLlrpMlAw3k,uvCTR3dovJk3pQwdMD42x,3,.,2020-01-01,1
pWZaOwElMdBNGrTbGKeq8,uf2Y6XSNM5WRFC2caI5HB,1,.,2020-01-01,2
pzIM9Z1fCXQvjwDl7kVfY,uGd2pTL3fAmIUxpL7CeGM,1,.,2020-01-01,5
pPuK0bdftVIMD9tU5L7ZF,uVIoGCNPtduiY0AVM5j4y,3,.,2020-01-01,1
pKUN8p9UjU6UZd4JvIkrf,u4HiZ8Xh1cmiLLJPxZwpa,3,.,2020-01-01,2
pxOKs0IH2XjlMv43YHV7E,urlrSzNZyh9vdhEeo55z8,1,.,2020-01-01,4
phj3GF6vPXaKcSQxtiCLO,uudlPwbgZ9vBxBwiOu4hl,2,.,2020-01-01,5
pirrmMuGBC7WiJgD6QC7d,uNfvJPVDDZYvNCckWhPv3,7,.,2020-01-01,5
pgQGPVjPVtVh1boGSPRKF,u0k1KwYxSK0cRifGC9mE0,5,.,2020-01-01,1
pSJhhSsZqattpIhh6PLXD,u8xG89tmsx8qST4NwZGzq,1,.,2020-01-01,2
pO6kV5sCHks0QqsJEZRfA,uR2Mun2plpr2g8MCDBwat,1,.,2020-01-01,4
pcRgOKEqyI11AL6zohlC2,udY2Y7aFYebiCQIj0n2FO,1,.,2020-01-01,4
paGW8BWX0MP3iNf9s3ryO,umYMOWsdxofYkTFg3gpcj,3,.,2020-01-01,4
p0rDAAGzJJm5u2nE2R1io,u9IjCPOQWXuEY80whXK0r,7,.,2020-01-01,5
pofhzN9ZryQ0DszjSXJT0,usR2ZWMp2HRYfnNYB6WaU,3,.,2020-01-01,2
ptK1CVcP3zilekJkQrIa9,us4MfnWK2ZC4N9XeNUqiT,2,.,2020-01-01,5
pvB7LUT6UsmrdBz4X4Khm,uLkqBMUSA1HyIl7fVzSiD,6,.,2020-01-01,3
pNgp2s4UuDhDVZioKoOKs,u0P2UWYY7iDbIuR4w4Ugg,4,.,2020-01-01,2
pu4Ektzm4KIdSJm6DdAbI,uhk5vvCMABsTUMf0F7EM2,7,.,2020-01-01,4
p5xC12ROKZIKmiZ0wPsRh,u3MhjMX9NX6B2pZUrV3kx,3,.,2020-01-01,1
pNmluEyIdiMq0b25idzGs,uvZ6UZ3sWoV2ADDg9WTiY,2,.,2020-01-01,3
pntEEiqH2QUTid4WS0JKy,uy8cZhEK4LBj9uM82DLzi,7,.,2020-01-01,4
pAIJhNCI3dIiw2wkVCLpF,uKaRHKtl04qZ79A72aLi8,3,.,2020-01-01,1
pmQoTdIrYQ1FLfYoGhJiZ,upmTrjvteeD0ZtjyN911q,2,.,2020-01-01,5
phEVjuqa2ASpZmcwxWbHF,uJm9yjYQKO876PnFdSHDe,6,.,2020-01-01,5
pRbOKE2SLLRkkEk0TUgKI,uKwWaZBu4yHbU2kMCkle0,3,.,2020-01-01,3
pzOUC8b9a0iBCSNqygTQN,uoILVInrsdNQFkZi3FTLv,5,.,2020-01-01,2
p59jtDFuDFHkdo0slve6L,uqwdi7CyJf4ipx04d1OSS,1,.,2020-01-01,4
p7XTBrGXsvTvNoXkDnqEu,uIRYPznPfhXhhX1vko5f2,1,.,2020-01-01,2
pn7R3ipTeFiOd2zMFt308,u68nwsyHj8YIGeY0i1Xj0,3,.,2020-01-01,2
ps2vozfOcvKUzHN270Fil,uZGPaOEJR8W0pb5vn7onQ,5,.,2020-01-01,5
plLnMl4yPHwmuMh2rsF0v,up7qKLTn5EUXsv3beWvmZ,7,.,2020-01-01,1
pF4L5iEFw0TeOgAUV9W6y,uiappLxhF4C6zpsG4mTns,3,.,2020-01-01,2
pVuqYVvEwFGNgf9aEczdn,uWs8uQ8KowqYCXTtRhmK7,3,.,2020-01-01,2
pQVkv4ZvkYT7zeBe2wdNW,uMe5V3YImz0Yjszc56vJ4,7,.,2020-01-01,5
pd1ge8aT2t8QIDlcfU3Nd,uYNmAUpmDscLESkxm19uI,6,.,2020-01-01,2
pIANQCdQztqeXSFOrrVUb,uXKjitky7OHadlXhA60pD,4,.,2020-01-01,4
pGPYFSyc6n5jvtmF4m9BT,uY7gWoH3HeyV7AgpzgJpv,3,.,2020-01-01,4
pQmDC5gY9W54X8n72RyKc,uNhHghlGOWWXvMv1HPgXi,6,.,2020-01-01,5
p6MN5EFqPLSvAwEFdk1RH,u7UaxrAwzf67pAmzCHzt8,7,.,2020-01-01,4
p8X8ZTGm6C6cvvWS5wq9B,uIFkrdnn5aJsilgbWAmmB,3,.,2020-01-01,4
puBTTsJKnk7yihMtJLhmk,u44vOkzxWj5eKKFhKZCU9,6,.,2020-01-01,5
pYvbysrPRMKBMEDFBp8wy,ucEYsYozM97eEfx08SUO6,2,.,2020-01-01,5
pnR0RxI38NwrdJt1oNTay,uxWiL7aoeosrJLxmXROu0,4,.,2020-01-01,5
pymCXt8QWDJqLzrMNtsfN,ugOnwBYOzCRk62bFTT5ws,1,.,2020-01-01,2
ps4VAbNQ0px4KnlYVwn8O,u4cPaEX1rYczuKnJ1qdJm,4,.,2020-01-01,2
pklSAeJvM7ncZGPtcBkCj,udz5FfV7jPA7qA2lG3oOL,6,.,2020-01-01,4
ptoGibS47oGIk06I9Gzzd,ukXv2hXUB5BfN5IUqt4Y8,5,.,2020-01-01,2
pQJYgOz8C5cSV8yiqVrR4,uq5GUDfvWQijym9pDCLN7,1,.,2020-01-01,3
pQQ1R5kBjiYoQoCRiIsZx,uH1n8pgNynQ5qjyH3ye31,1,.,2020-01-01,1
pldpL5nLJwWt5welAYaTk,uNxWyKbx03cg9KASkitR5,6,.,2020-01-01,4
pZ9P8mkzoVG0m12RpbGiW,uwpooH1DVdXF7BpcJU8gG,6,.,2020-01-01,5
p7FVmJ3ssNxIJ9wcf6gBj,uA9c0fVmxpemWgaIODJ6I,2,.,2020-01-01,5
pUQVhQgqcHIqDVNMDn5UB,uAl9FWNFpKLIvwOG3W8Cy,3,.,2020-01-01,1
pjqWo5J31nSLcrIdde288,uloNoiRGDad4EBNDQi5rM,1,.,2020-01-01,1
pPJlj31ZxJXwJvUDjGpSM,ucrO3jlXxSgtj7sfJ6UKT,5,.,2020-01-01,4
pVN4c6zuUOuqHc9YHOfqR,uGoKM8evzUiTOw7Rpy9Ju,2,.,2020-01-01,4
p69fdxsbLi8lHaxnrKPe7,ux6fGKjHIo3W7LHxQzPNx,4,.,2020-01-01,2
p2hh79hT1T3nkjoFvBQix,uD0NHUTH1Im6XQciSBvt8,4,.,2020-01-01,1
p4OBYoJahtjUD5OiXzY4Z,u3OgNj4AIo6cy6KckjpUc,7,.,2020-01-01,1
pA2XAG3RVVGj028QkAOPu,uVmpjoBXnbW9GfaMfigdd,3,.,2020-01-01,2
pRrINlSnMSzq4yhcRLyLc,uF4KiTyLdcvMft7zclQyK,6,.,2020-01-01,2
pCl0ELoKjOwpYDlWSy1rj,uFT5StC6qYJ7MKzmW1KJH,4,.,2020-01-01,5
pKQf7uy8pHjZmRR9s2bTx,uustP7rzXFL8Lppul8jq8,1,.,2020-01-01,3
pwdK9amQtKfu2em8KnB3x,uOWmqrDSlOJ6MacaeHzM5,3,.,2020-01-01,1
pNcpQ9bA9B3UVjlaz6aZg,uHxwEfzmIeN9B0kygfsSq,7,.,2020-01-01,3
p2OOEZ5D9E33CRDp0gStJ,unbpXAYJsyP216gNnxDhX,7,.,2020-01-01,1
pG5TsRJtHy99SRXbahrmo,uErI6iwpI49ykXCt92Tcj,3,.,2020-01-01,4
pb3VtVPEOLcDmCes1vfmH,uUymvGy7WCJbEoGDQFJNI,2,.,2020-01-01,4
pnOyH4Tj3TCTFl6TmCkZa,uBAlzwhO2DsbXP0LWaFb3,4,.,2020-01-01,5
pFfAKRdHUAhB5qRbpY0wz,u0zRcdqWVaAu1t2NSdUSE,1,.,2020-01-01,2
pRS5cVEuFjTxzC5lGrLhF,uS8Gs0f0TGac1TZqLT7LB,4,.,2020-01-01,1
pyIf5uH83cT6A2POKURBp,urmL2STwU1VPeOmpNKsnz,2,.,2020-01-01,1
pxBL3usJPYRIkHsHc1VZp,uXBh93WawwWwBSXhsZUHH,5,.,2020-01-01,3
pzXrY6JxW8HkZl9YMXIuN,uaWdSiRuSGseiDB6FfHnM,1,.,2020-01-01,1
pxd48buOhDpby6FKDA1N4,uBgPawVePS7dxsa0VSN0O,5,.,2020-01-01,3
pjykSzlt6bSnGjhabtsKd,u7uqUAUUfZxDlLFIs7qus,7,.,2020-01-01,2
pAXn3DNNbY2XuRRuZhvVa,uzMSESWlBS4ePZlgoIcq4,6,.,2020-01-01,5
pHWCRmQJ7disVmd6GvzY2,uvJq7eDJz8ogsbPsX7n72,6,.,2020-01-01,3
pCnghNbc0QT24LdLqunLq,uTpp8xzV5BgDHAEGEQ3sG,1,.,2020-01-01,4
p5XJE4OptsWy5qr7vJbaH,uYbfTWIoh7MuuW0SFgwgd,5,.,2020-01-01,2
pvvWUDT850vy1bBEGk2oq,u19SbF2ePTYOVEjjyRfCS,1,.,2020-01-01,5
pERrYenXMylU08GpP8kwy,uajuepDISFYJZp1Yrj9aP,5,.,2020-01-01,2
