item_sno,material_no
fbDTlWX23OZJAGkJKl3Sa,11
fR5V7WcAq23BeGuPXJxQr,11
fR5V7WcAq23BeGuPXJxQr,9
fR5V7WcAq23BeGuPXJxQr,8
fMX70E2pArtSE6XkUYIHV,1
fMX70E2pArtSE6XkUYIHV,7
fMX70E2pArtSE6XkUYIHV,2
fIyZJGefeQJFMg8rntmUV,11
fIyZJGefeQJFMg8rntmUV,6
fIyZJGefeQJFMg8rntmUV,2
fDkOuEFlsHs1V1ehx5Nsx,11
fDkOuEFlsHs1V1ehx5Nsx,3
fDkOuEFlsHs1V1ehx5Nsx,2
fQgLwOSmzy3wjid4pbrD2,3
fQgLwOSmzy3wjid4pbrD2,4
fKCvkkEwyQBGkPO08nK1d,9
fKCvkkEwyQBGkPO08nK1d,12
fKCvkkEwyQBGkPO08nK1d,2
f907quL6QM9KgBprukeCi,10
f907quL6QM9KgBprukeCi,3
f907quL6QM9KgBprukeCi,2
fBMDk4ccsxWrvuU9sBH1G,11
fBMDk4ccsxWrvuU9sBH1G,6
fBMDk4ccsxWrvuU9sBH1G,2
famt7yPjM0HbhF1nMSNG1,2
fCOg14DY12jWHZ9bSvUrb,2
fo1Ept6x2l1OaVlvDF2WC,1
fo1Ept6x2l1OaVlvDF2WC,3
fo1Ept6x2l1OaVlvDF2WC,2
flAuAmGaWZJUA1Na2JyGI,11
flAuAmGaWZJUA1Na2JyGI,2
flAuAmGaWZJUA1Na2JyGI,8
fOa78NAnrtlZKRvVf2lYJ,10
fOa78NAnrtlZKRvVf2lYJ,1
fOa78NAnrtlZKRvVf2lYJ,2
fR5XllJk9ymzVmmc0sa3G,3
fR5XllJk9ymzVmmc0sa3G,9
fR5XllJk9ymzVmmc0sa3G,2
fiUIkvahAIPuTGQkXpFrS,11
fiUIkvahAIPuTGQkXpFrS,1
fiUIkvahAIPuTGQkXpFrS,7
fCSEQ7wsSxftUGs0JEygF,10
fCSEQ7wsSxftUGs0JEygF,6
fCSEQ7wsSxftUGs0JEygF,2
fEI8XbHYJ3fql8QtiOEdM,11
fEI8XbHYJ3fql8QtiOEdM,7
fEI8XbHYJ3fql8QtiOEdM,8
fXAXNtNXGHdos90WVqSLe,10
fXAXNtNXGHdos90WVqSLe,1
fXAXNtNXGHdos90WVqSLe,2
fbbbuJOP4ev6fvIhMsCam,1
fbbbuJOP4ev6fvIhMsCam,2
fbbbuJOP4ev6fvIhMsCam,8
f6IUh6sLgAJAcjOP2T1Dc,11
f6IUh6sLgAJAcjOP2T1Dc,7
f6IUh6sLgAJAcjOP2T1Dc,5
f6IUh6sLgAJAcjOP2T1Dc,9
f6IUh6sLgAJAcjOP2T1Dc,12
f39pQaqcQsXgD31V8fVnn,9
f39pQaqcQsXgD31V8fVnn,4
f39pQaqcQsXgD31V8fVnn,8
f55RprQv5Xmewe2ypYrP1,11
f55RprQv5Xmewe2ypYrP1,6
fiemGNP6pJ9wFMsm9SJcX,11
fiemGNP6pJ9wFMsm9SJcX,9
fiemGNP6pJ9wFMsm9SJcX,2
fNwDYFDV2hjIU62d2csxQ,1
fNwDYFDV2hjIU62d2csxQ,6
fNwDYFDV2hjIU62d2csxQ,9
ffLWoPYLL8PjK9GVLaD4u,10
ffLWoPYLL8PjK9GVLaD4u,12
ffLWoPYLL8PjK9GVLaD4u,2
fVOnZlFX96qae41DyswNC,1
fVOnZlFX96qae41DyswNC,7
fVOnZlFX96qae41DyswNC,2
f46HDOnYs9PLy56Yqf0n0,11
f46HDOnYs9PLy56Yqf0n0,8
fLQwGh6peCh7048fBE5f8,11
fLQwGh6peCh7048fBE5f8,7
fqW4MVRnmKreX5doVDsLN,11
fqW4MVRnmKreX5doVDsLN,1
fqW4MVRnmKreX5doVDsLN,5
fqW4MVRnmKreX5doVDsLN,6
fqW4MVRnmKreX5doVDsLN,9
fhyQgRGfe5b8ltpTSW8Cq,9
fhyQgRGfe5b8ltpTSW8Cq,12
fhyQgRGfe5b8ltpTSW8Cq,2
fA0aKkGZn9knzGw76J5NW,11
fA0aKkGZn9knzGw76J5NW,9
fA0aKkGZn9knzGw76J5NW,2
fKZY0ZgaJ2UbTWAsQgKds,3
fKZY0ZgaJ2UbTWAsQgKds,5
fKZY0ZgaJ2UbTWAsQgKds,6
fKZY0ZgaJ2UbTWAsQgKds,9
fHz7fA2vQDcU5VBI3Obuj,11
fHz7fA2vQDcU5VBI3Obuj,7
fHz7fA2vQDcU5VBI3Obuj,12
fzwWbsHrZxEyEiiWAAnTH,11
fzwWbsHrZxEyEiiWAAnTH,6
fzwWbsHrZxEyEiiWAAnTH,2
fllPwC0bzxII5tvLqmI1c,10
fllPwC0bzxII5tvLqmI1c,3
fllPwC0bzxII5tvLqmI1c,13
fFBLRCJMEubelAH7ijLcF,11
fFBLRCJMEubelAH7ijLcF,9
fFBLRCJMEubelAH7ijLcF,12
fKI5qv8OSbxqmTlWocTEW,8
fQ1pDluYi6qhlwgTxg4ZE,10
fQ1pDluYi6qhlwgTxg4ZE,11
fQ1pDluYi6qhlwgTxg4ZE,1
fl4lhZeG08PVHPjTMO5FB,9
fcZe0nFzLIfJ6dqIWiCLc,8
fx9Px1c0Py05wsvYBZgjR,11
fx9Px1c0Py05wsvYBZgjR,5
fx9Px1c0Py05wsvYBZgjR,9
fx9Px1c0Py05wsvYBZgjR,12
fx9Px1c0Py05wsvYBZgjR,2
f6YvQ7GwQcBSlxqH7mBk7,1
f6YvQ7GwQcBSlxqH7mBk7,7
f6YvQ7GwQcBSlxqH7mBk7,2
fEhkYAe36Mf5n24eFOqqw,10
fEhkYAe36Mf5n24eFOqqw,3
fEhkYAe36Mf5n24eFOqqw,13
fR1pQCOFIu3olJl2oHGT9,6
fR1pQCOFIu3olJl2oHGT9,9
fR1pQCOFIu3olJl2oHGT9,8
fqTl66I8sNNQgmIYRetgx,11
fqTl66I8sNNQgmIYRetgx,1
fqTl66I8sNNQgmIYRetgx,2
fpXuiXFyswQ1wIW0a0EaV,8
fREj9OQel7ZKwTJfrxZbT,1
fREj9OQel7ZKwTJfrxZbT,7
fREj9OQel7ZKwTJfrxZbT,2
fDlg8adYnRq9KVits6yJ0,11
fDlg8adYnRq9KVits6yJ0,3
fDlg8adYnRq9KVits6yJ0,5
fDlg8adYnRq9KVits6yJ0,9
fDlg8adYnRq9KVits6yJ0,12
fBpv3P2uVBnZwFvnT3Atn,10
fBpv3P2uVBnZwFvnT3Atn,11
fBpv3P2uVBnZwFvnT3Atn,1
fDEB7xmM6GF0jtogHdmxz,11
fDEB7xmM6GF0jtogHdmxz,4
fhk2w9aMd1jCEw9ytObdz,10
fhk2w9aMd1jCEw9ytObdz,11
fhk2w9aMd1jCEw9ytObdz,7
fValrc6P3RVxsXnoxEHvj,9
fValrc6P3RVxsXnoxEHvj,12
fValrc6P3RVxsXnoxEHvj,2
fn7LXAIODfJ0cTNoL5u9F,9
fn7LXAIODfJ0cTNoL5u9F,8
fvwv2ljuzxU3igZcO4yjJ,1
fvwv2ljuzxU3igZcO4yjJ,5
fvwv2ljuzxU3igZcO4yjJ,6
fvwv2ljuzxU3igZcO4yjJ,9
fY9XoNSa71UehjbvIOJ8w,5
fY9XoNSa71UehjbvIOJ8w,6
fY9XoNSa71UehjbvIOJ8w,9
fY9XoNSa71UehjbvIOJ8w,12
fY9XoNSa71UehjbvIOJ8w,4
fWqz0Pe2I5QlC3QA31lT2,11
fWqz0Pe2I5QlC3QA31lT2,6
fWqz0Pe2I5QlC3QA31lT2,9
fNeCMnc0bEOIkg3AhukLW,1
fNeCMnc0bEOIkg3AhukLW,5
fNeCMnc0bEOIkg3AhukLW,6
fNeCMnc0bEOIkg3AhukLW,9
fNeCMnc0bEOIkg3AhukLW,2
fNeCMnc0bEOIkg3AhukLW,4
fpxqvzAixlGf0ylqP76Xs,2
fZzVJZc6czjRYa8Z88Am5,1
fZzVJZc6czjRYa8Z88Am5,7
fZzVJZc6czjRYa8Z88Am5,2
fBqDKIZD1jbdolLuCXQLw,11
fBqDKIZD1jbdolLuCXQLw,9
fBqDKIZD1jbdolLuCXQLw,12
fqs1K0DLnFegJUZRxpDdE,8
fRRdLiG4bv0VLWblGavns,11
fRRdLiG4bv0VLWblGavns,9
fRRdLiG4bv0VLWblGavns,8
f0i4tJenuSL6PgjIhxSae,11
f0i4tJenuSL6PgjIhxSae,9
fCrd6vHxX18MVte5ESy1y,11
fCrd6vHxX18MVte5ESy1y,12
fCrd6vHxX18MVte5ESy1y,8
fSYb86QyIdykGct0HdO6m,10
fSYb86QyIdykGct0HdO6m,11
fSYb86QyIdykGct0HdO6m,8
f6D83j4d7LuMywYSkUgz4,11
f6D83j4d7LuMywYSkUgz4,12
fpNZv1hmyFowgXg4X2n0A,3
fkVNQcDADOmmgI53i9lLw,6
fkVNQcDADOmmgI53i9lLw,2
fkVNQcDADOmmgI53i9lLw,8
fUSx7aNtwxvJLz80Akldo,10
fUSx7aNtwxvJLz80Akldo,1
fUSx7aNtwxvJLz80Akldo,2
fDGI12EFq5rEDm5XNmB3r,1
fDGI12EFq5rEDm5XNmB3r,3
fDGI12EFq5rEDm5XNmB3r,2
f8k2pS09ZleDSEite16WE,10
f8k2pS09ZleDSEite16WE,1
f8k2pS09ZleDSEite16WE,2
fRv3CNRDZOFDPINgYnNhV,11
fJZb3MvURURKxy4Qh7aKJ,1
fJZb3MvURURKxy4Qh7aKJ,5
fJZb3MvURURKxy4Qh7aKJ,8
fhTFJ6hhP3o15hPo5IsBD,11
fhTFJ6hhP3o15hPo5IsBD,12
fhTFJ6hhP3o15hPo5IsBD,2
fgBoM3ZiKG8PyHQLSuvle,11
fgBoM3ZiKG8PyHQLSuvle,6
fgBoM3ZiKG8PyHQLSuvle,2
fLeTrvsqBqUG9CpeX39CF,6
fLeTrvsqBqUG9CpeX39CF,9
fLeTrvsqBqUG9CpeX39CF,2
fVEwE1ddeu1XQ33EA8szm,11
fVEwE1ddeu1XQ33EA8szm,7
fVEwE1ddeu1XQ33EA8szm,12
fC4R4CAtbvvbZf7o9WA6N,1
f9HgoQa1ugPDQQpFi17KQ,1
f9HgoQa1ugPDQQpFi17KQ,6
f9HgoQa1ugPDQQpFi17KQ,9
fOoTe8zSsgcFynBbFWOaf,1
fnndw3I6B3NXyZPC2SQq9,9
fnndw3I6B3NXyZPC2SQq9,2
fnndw3I6B3NXyZPC2SQq9,4
fjPRZwZDEuTluGf1ESLTe,3
fjPRZwZDEuTluGf1ESLTe,9
fjPRZwZDEuTluGf1ESLTe,12
f6vfKRSGjjMRYmRfB6EWX,11
f6vfKRSGjjMRYmRfB6EWX,12
f6vfKRSGjjMRYmRfB6EWX,8
fMnpAOOSa2LfBvYzm2tSz,11
fMnpAOOSa2LfBvYzm2tSz,3
fMnpAOOSa2LfBvYzm2tSz,2
fG6WPVgrEnPtRmKtr3hOC,9
fG6WPVgrEnPtRmKtr3hOC,2
fG6WPVgrEnPtRmKtr3hOC,8
fLWBz7pQjNWuhYlS4b1q7,11
fLWBz7pQjNWuhYlS4b1q7,1
fLWBz7pQjNWuhYlS4b1q7,7
fedBHFZZDa6ONwvfnny7b,10
fedBHFZZDa6ONwvfnny7b,11
fTlsNN32xwEM5l9XbrYKc,1
fTlsNN32xwEM5l9XbrYKc,9
fTlsNN32xwEM5l9XbrYKc,2
fyWRWEV0xXNuwQvPl8BNI,11
fyWRWEV0xXNuwQvPl8BNI,9
fyWRWEV0xXNuwQvPl8BNI,8
fX8nal71nWrVylX7EFTHd,11
fX8nal71nWrVylX7EFTHd,9
fX8nal71nWrVylX7EFTHd,8
f5dN43yKqmtRwwey7YmVy,7
f5dN43yKqmtRwwey7YmVy,9
f5dN43yKqmtRwwey7YmVy,8
fvP45bkNBTScXVaZwArDA,8
f6CCx5hJJmWDpqNqQgGZR,8
fUUYKjpIekDNOSbDnTBty,1
f2d6qQ0VXjmsQU930FSij,11
f2d6qQ0VXjmsQU930FSij,9
fYc1m1VlpvAg3y4pWgQGG,7
fYc1m1VlpvAg3y4pWgQGG,9
fpaRPvOq4304S8QR7WQaH,1
fzVmkP4DJ8jAY1lS9JxnC,2
f2msdQjBcfaQcEHeJv9JX,11
f2msdQjBcfaQcEHeJv9JX,9
f2msdQjBcfaQcEHeJv9JX,12
fbbEEk4o4hVMBAgzsQERY,11
fbbEEk4o4hVMBAgzsQERY,5
fbbEEk4o4hVMBAgzsQERY,9
fBqThTvUKZvPSisnmahb0,1
fBqThTvUKZvPSisnmahb0,9
fBqThTvUKZvPSisnmahb0,8
fzGs0kY8RNS7qYpzAi696,1
fzGs0kY8RNS7qYpzAi696,9
fzGs0kY8RNS7qYpzAi696,8
fzcCogoEOtP7Ek16Rr83x,10
fzcCogoEOtP7Ek16Rr83x,1
fzcCogoEOtP7Ek16Rr83x,3
fKFGPW7B49nLuRDwnJzBx,2
fbbMFZSAGKFV2k44KdX7l,1
fbbMFZSAGKFV2k44KdX7l,2
fdWBYAiFG2LGbMDPbMVUI,1
fdWBYAiFG2LGbMDPbMVUI,6
fdWBYAiFG2LGbMDPbMVUI,2
fAEWRhXy8MinSiGWO7Iin,7
f4J0fjed2Z9EfgXJwpgwq,1
f4J0fjed2Z9EfgXJwpgwq,5
f4J0fjed2Z9EfgXJwpgwq,6
f4J0fjed2Z9EfgXJwpgwq,2
f4J0fjed2Z9EfgXJwpgwq,4
f41pRypsoTi0YxVdcZDkM,1
f41pRypsoTi0YxVdcZDkM,9
fHeVxfUx2bCj6ZtuBRLyY,10
fHeVxfUx2bCj6ZtuBRLyY,5
fHeVxfUx2bCj6ZtuBRLyY,2
fSDaP0U3mHGCA2V8QCQQb,11
fSDaP0U3mHGCA2V8QCQQb,6
fSDaP0U3mHGCA2V8QCQQb,2
fuu6EHh6CrcbpL1J8TDiF,5
fuu6EHh6CrcbpL1J8TDiF,9
fuu6EHh6CrcbpL1J8TDiF,2
f2y2XmBlBNrNmjwCxm8YZ,8
fG3Ocu3k8DTfcUSyLY6ut,11
fG3Ocu3k8DTfcUSyLY6ut,1
fG3Ocu3k8DTfcUSyLY6ut,7
fQpVmdaRz8CIGnPx8nwBJ,2
fitLrorXhz8OPJYh1eqg6,11
fitLrorXhz8OPJYh1eqg6,7
fitLrorXhz8OPJYh1eqg6,2
fMcu16nB5b5liVRPRg9da,1
fMcu16nB5b5liVRPRg9da,6
fwNMzkCuw30qELrppGJBY,10
fwNMzkCuw30qELrppGJBY,1
fwNMzkCuw30qELrppGJBY,2
fXlDEX0EoLTUa9f0GBR71,10
fXlDEX0EoLTUa9f0GBR71,9
fZGC6rX55BAjWgT217USW,1
fZGC6rX55BAjWgT217USW,2
fZGC6rX55BAjWgT217USW,8
fIIaYuMQTwkajaXs5Kp8D,2
fYzmCLo9xiaoWWK35Yir4,11
fYzmCLo9xiaoWWK35Yir4,2
fKjJ02C6hWWlBi9LyruFF,10
fKjJ02C6hWWlBi9LyruFF,11
fKjJ02C6hWWlBi9LyruFF,1
f1ghD0upGfa87PJ4ZxHxN,9
f1ghD0upGfa87PJ4ZxHxN,12
f1ghD0upGfa87PJ4ZxHxN,2
f1ghD0upGfa87PJ4ZxHxN,8
f9DZAYBBnUTAGGmQF3yjv,6
f9DZAYBBnUTAGGmQF3yjv,2
f9DZAYBBnUTAGGmQF3yjv,8
fS3gGdCbcrw1pNx91wXL7,1
fS3gGdCbcrw1pNx91wXL7,7
fS3gGdCbcrw1pNx91wXL7,2
feowyKJkrwieEhQLimVfL,8
fFD5nO7mHnY4eWt3Hpl1n,5
fFD5nO7mHnY4eWt3Hpl1n,6
fFD5nO7mHnY4eWt3Hpl1n,2
fF44brFlINUaTJ6YDZXQj,10
fF44brFlINUaTJ6YDZXQj,1
fF44brFlINUaTJ6YDZXQj,2
f6Z3kMI5cZMcWrQ0Yi7JK,12
f6Z3kMI5cZMcWrQ0Yi7JK,14
fU7WevCghJdkkDPnU4UCF,10
fU7WevCghJdkkDPnU4UCF,11
fU7WevCghJdkkDPnU4UCF,1
fnCzxKDV1RD5Oy9bdGEW3,11
fj3E2iWK3eIjuvBQ1WnW3,11
fj3E2iWK3eIjuvBQ1WnW3,3
fj3E2iWK3eIjuvBQ1WnW3,5
fj3E2iWK3eIjuvBQ1WnW3,9
fj3E2iWK3eIjuvBQ1WnW3,12
fj3E2iWK3eIjuvBQ1WnW3,4
fcDoSYXM35mw7UXC85gDb,8
fSSS1FeGwzie6I4MpritF,11
fSSS1FeGwzie6I4MpritF,7
fSSS1FeGwzie6I4MpritF,12
fOv0Ovj7P3Xaqgn7kuj7R,10
fOv0Ovj7P3Xaqgn7kuj7R,15
fOv0Ovj7P3Xaqgn7kuj7R,11
fEmuVr6RvCcFSwxi0ST9g,10
fEmuVr6RvCcFSwxi0ST9g,11
fEmuVr6RvCcFSwxi0ST9g,9
fEmuVr6RvCcFSwxi0ST9g,12
fQ7Ta0FW2i636fXdeb78y,6
fQ7Ta0FW2i636fXdeb78y,9
fQ7Ta0FW2i636fXdeb78y,12
f11czGYWFVY1g6EePAoM3,11
f11czGYWFVY1g6EePAoM3,7
f11czGYWFVY1g6EePAoM3,12
fuWSg3MhFRws8a5Qgx0EA,2
fMqcvggtOfw6RqscWUyAJ,11
fMqcvggtOfw6RqscWUyAJ,1
fMqcvggtOfw6RqscWUyAJ,2
f7XAK3LYIMzmOpdC2tx5D,10
f7XAK3LYIMzmOpdC2tx5D,11
f7XAK3LYIMzmOpdC2tx5D,1
fWjpEByKKE7AsHc3TPTJu,10
fWjpEByKKE7AsHc3TPTJu,11
fWjpEByKKE7AsHc3TPTJu,9
fWjpEByKKE7AsHc3TPTJu,12
fWjpEByKKE7AsHc3TPTJu,8
fot47RKi5NcMibyOFdEJ6,10
fot47RKi5NcMibyOFdEJ6,1
fot47RKi5NcMibyOFdEJ6,2
fOF8CycIIso1LfmVwN479,9
fOF8CycIIso1LfmVwN479,12
fOF8CycIIso1LfmVwN479,2
fSNp5oztbjpYDmzIyUhKv,11
fSNp5oztbjpYDmzIyUhKv,12
fynGeO2aynxFAEoDTVwzu,11
fynGeO2aynxFAEoDTVwzu,9
fynGeO2aynxFAEoDTVwzu,8
fChjv8IeoJZ6d5oVQaxKW,10
fChjv8IeoJZ6d5oVQaxKW,3
fChjv8IeoJZ6d5oVQaxKW,12
fChjv8IeoJZ6d5oVQaxKW,13
fChjv8IeoJZ6d5oVQaxKW,2
fLatnafdpVaSJQ9s6Bvf0,11
fcIamF4JXrVtT4HIgnD63,6
fcIamF4JXrVtT4HIgnD63,2
fcIamF4JXrVtT4HIgnD63,8
fNG0ab5Uq9Lzp0cwIaIdt,8
f81AESr2ZYhfOCbP9SHaj,10
f81AESr2ZYhfOCbP9SHaj,11
f81AESr2ZYhfOCbP9SHaj,9
f60KS51xdhyr66vK8perh,5
f60KS51xdhyr66vK8perh,8
fT5Msh7gpWax9xYcgkw6f,10
fT5Msh7gpWax9xYcgkw6f,9
fT5Msh7gpWax9xYcgkw6f,8
fKdzQXegQF5xkUfOwbBoM,9
fKdzQXegQF5xkUfOwbBoM,8
fNvpb37z0yXRbJEOoPpyF,3
fNvpb37z0yXRbJEOoPpyF,12
fSVPfGDQUAfXGoY3VPzhb,3
fSVPfGDQUAfXGoY3VPzhb,9
fSVPfGDQUAfXGoY3VPzhb,12
fSVPfGDQUAfXGoY3VPzhb,13
fkQAvPDAZccOATSBrrIjo,11
fkQAvPDAZccOATSBrrIjo,8
f84CeLtW4Ydgg6q0eSkus,9
f58Hn3iuoZT4m23BIw0oM,7
fsvJ62v5uzzZxKRS5vNx2,5
fsvJ62v5uzzZxKRS5vNx2,2
fsvJ62v5uzzZxKRS5vNx2,8
f7kGXDSAwahLxbPmnflKa,11
f7kGXDSAwahLxbPmnflKa,1
f7kGXDSAwahLxbPmnflKa,2
fX5kv8acVWXjKw3hj7JrZ,7
fX5kv8acVWXjKw3hj7JrZ,6
fX5kv8acVWXjKw3hj7JrZ,12
fRBNEbpY1xctaVq4q3CAA,11
fRBNEbpY1xctaVq4q3CAA,5
fRBNEbpY1xctaVq4q3CAA,2
fOwnW6uNoyb6K2VL80xbb,11
fOwnW6uNoyb6K2VL80xbb,8
fy96TAtBlPlnfDOb3ESHC,1
fW88Vn5oWtbDNZPheOJKN,9
foIIqQtxl87DIB1EEmGW1,1
foIIqQtxl87DIB1EEmGW1,7
foIIqQtxl87DIB1EEmGW1,2
fOoaz0FhOsdfukVwjBYXn,11
fOoaz0FhOsdfukVwjBYXn,1
fOoaz0FhOsdfukVwjBYXn,9
fg57jueWYfrC4NEY2zVDl,10
fg57jueWYfrC4NEY2zVDl,11
fg57jueWYfrC4NEY2zVDl,1
fxUed3vx2jXn2bDjQBARb,10
fxUed3vx2jXn2bDjQBARb,15
fxUed3vx2jXn2bDjQBARb,11
f5fgtEkj6E3KNkGVHNtub,11
f5fgtEkj6E3KNkGVHNtub,9
f5fgtEkj6E3KNkGVHNtub,2
fiGTxfG8ozre9OUenHaJE,11
fiGTxfG8ozre9OUenHaJE,7
fiGTxfG8ozre9OUenHaJE,9
fVem0hBGr200RDfKiHdvR,11
fVem0hBGr200RDfKiHdvR,7
fVem0hBGr200RDfKiHdvR,8
fJANewMkTRAhBrO5jXmF1,10
fJANewMkTRAhBrO5jXmF1,6
fJANewMkTRAhBrO5jXmF1,9
fPxwls2LqwdHPNcDbAciA,11
fPxwls2LqwdHPNcDbAciA,8
fY05Z3SrobMoZKRgRyvrZ,1
fY05Z3SrobMoZKRgRyvrZ,6
fY05Z3SrobMoZKRgRyvrZ,9
fk4gxdoQ7YdIXzsX8UIVi,12
fgcxHrVTJATDHC5snVjpP,11
fgcxHrVTJATDHC5snVjpP,1
fgcxHrVTJATDHC5snVjpP,7
fexco94lGDcrj4D3HSsG8,11
f6TAjROH3rR4uy0xntIoG,2
fbz9igVHUB7EFfxRPcDZb,11
fbz9igVHUB7EFfxRPcDZb,9
fbz9igVHUB7EFfxRPcDZb,12
faAX9N0pYEXEBpTonP7l4,11
faAX9N0pYEXEBpTonP7l4,9
faAX9N0pYEXEBpTonP7l4,2
fIbpn9uxbLdl95qe3Uxgh,5
fIbpn9uxbLdl95qe3Uxgh,2
fggfYwGqb663siXibDaii,11
fggfYwGqb663siXibDaii,5
fggfYwGqb663siXibDaii,6
fggfYwGqb663siXibDaii,9
fggfYwGqb663siXibDaii,2
fggfYwGqb663siXibDaii,4
fVb0eFjkg6ulRSURSUMjf,11
fVb0eFjkg6ulRSURSUMjf,9
fVb0eFjkg6ulRSURSUMjf,12
fo5ZWdsgFVVR7BMV7Ryzl,8
fXqztagwoAH2yAQ7fNawX,10
fXqztagwoAH2yAQ7fNawX,2
fZqyuporngGeOQc4y5NGU,10
fZqyuporngGeOQc4y5NGU,11
fZqyuporngGeOQc4y5NGU,8
fvixOeNCuZoCHT9Zrh1dK,10
fvixOeNCuZoCHT9Zrh1dK,1
fvixOeNCuZoCHT9Zrh1dK,2
f45EvWH2EKM4j2tttr3hg,8
