item_sno,effect_no
fOa78NAnrtlZKRvVf2lYJ,2
fOa78NAnrtlZKRvVf2lYJ,9
fOa78NAnrtlZKRvVf2lYJ,12
fR5XllJk9ymzVmmc0sa3G,14
fR5XllJk9ymzVmmc0sa3G,3
fR5XllJk9ymzVmmc0sa3G,9
fiUIkvahAIPuTGQkXpFrS,8
fiUIkvahAIPuTGQkXpFrS,2
fCSEQ7wsSxftUGs0JEygF,8
fCSEQ7wsSxftUGs0JEygF,2
fEI8XbHYJ3fql8QtiOEdM,8
fEI8XbHYJ3fql8QtiOEdM,7
fXAXNtNXGHdos90WVqSLe,8
fXAXNtNXGHdos90WVqSLe,3
fXAXNtNXGHdos90WVqSLe,12
fbbbuJOP4ev6fvIhMsCam,2
fbbbuJOP4ev6fvIhMsCam,9
f6IUh6sLgAJAcjOP2T1Dc,8
f6IUh6sLgAJAcjOP2T1Dc,13
f6IUh6sLgAJAcjOP2T1Dc,1
f6IUh6sLgAJAcjOP2T1Dc,3
f6IUh6sLgAJAcjOP2T1Dc,9
f39pQaqcQsXgD31V8fVnn,2
f39pQaqcQsXgD31V8fVnn,9
f55RprQv5Xmewe2ypYrP1,8
f55RprQv5Xmewe2ypYrP1,2
f55RprQv5Xmewe2ypYrP1,10
f55RprQv5Xmewe2ypYrP1,3
fiemGNP6pJ9wFMsm9SJcX,8
fiemGNP6pJ9wFMsm9SJcX,13
fiemGNP6pJ9wFMsm9SJcX,1
fiemGNP6pJ9wFMsm9SJcX,2
fiemGNP6pJ9wFMsm9SJcX,21
fiemGNP6pJ9wFMsm9SJcX,7
fiemGNP6pJ9wFMsm9SJcX,12
fNwDYFDV2hjIU62d2csxQ,8
fNwDYFDV2hjIU62d2csxQ,11
fNwDYFDV2hjIU62d2csxQ,15
ffLWoPYLL8PjK9GVLaD4u,14
ffLWoPYLL8PjK9GVLaD4u,8
ffLWoPYLL8PjK9GVLaD4u,2
ffLWoPYLL8PjK9GVLaD4u,4
ffLWoPYLL8PjK9GVLaD4u,9
fVOnZlFX96qae41DyswNC,8
fVOnZlFX96qae41DyswNC,2
f46HDOnYs9PLy56Yqf0n0,8
f46HDOnYs9PLy56Yqf0n0,2
f46HDOnYs9PLy56Yqf0n0,7
fLQwGh6peCh7048fBE5f8,8
fLQwGh6peCh7048fBE5f8,1
fLQwGh6peCh7048fBE5f8,2
fLQwGh6peCh7048fBE5f8,3
fLQwGh6peCh7048fBE5f8,4
fLQwGh6peCh7048fBE5f8,7
fLQwGh6peCh7048fBE5f8,9
fLQwGh6peCh7048fBE5f8,12
fLQwGh6peCh7048fBE5f8,15
fqW4MVRnmKreX5doVDsLN,14
fqW4MVRnmKreX5doVDsLN,8
fqW4MVRnmKreX5doVDsLN,13
fqW4MVRnmKreX5doVDsLN,1
fqW4MVRnmKreX5doVDsLN,2
fqW4MVRnmKreX5doVDsLN,10
fqW4MVRnmKreX5doVDsLN,3
fqW4MVRnmKreX5doVDsLN,4
fhyQgRGfe5b8ltpTSW8Cq,14
fhyQgRGfe5b8ltpTSW8Cq,8
fhyQgRGfe5b8ltpTSW8Cq,1
fhyQgRGfe5b8ltpTSW8Cq,2
fhyQgRGfe5b8ltpTSW8Cq,3
fhyQgRGfe5b8ltpTSW8Cq,6
fhyQgRGfe5b8ltpTSW8Cq,7
fA0aKkGZn9knzGw76J5NW,8
fA0aKkGZn9knzGw76J5NW,10
fA0aKkGZn9knzGw76J5NW,3
fA0aKkGZn9knzGw76J5NW,6
fKZY0ZgaJ2UbTWAsQgKds,1
fKZY0ZgaJ2UbTWAsQgKds,2
fKZY0ZgaJ2UbTWAsQgKds,4
fKZY0ZgaJ2UbTWAsQgKds,7
fKZY0ZgaJ2UbTWAsQgKds,5
fHz7fA2vQDcU5VBI3Obuj,8
fHz7fA2vQDcU5VBI3Obuj,2
fHz7fA2vQDcU5VBI3Obuj,18
fzwWbsHrZxEyEiiWAAnTH,8
fzwWbsHrZxEyEiiWAAnTH,2
fzwWbsHrZxEyEiiWAAnTH,3
fzwWbsHrZxEyEiiWAAnTH,4
fzwWbsHrZxEyEiiWAAnTH,6
fllPwC0bzxII5tvLqmI1c,2
fllPwC0bzxII5tvLqmI1c,9
fFBLRCJMEubelAH7ijLcF,2
fFBLRCJMEubelAH7ijLcF,3
fFBLRCJMEubelAH7ijLcF,9
fl4lhZeG08PVHPjTMO5FB,8
fl4lhZeG08PVHPjTMO5FB,2
fl4lhZeG08PVHPjTMO5FB,10
fl4lhZeG08PVHPjTMO5FB,3
fcZe0nFzLIfJ6dqIWiCLc,8
fcZe0nFzLIfJ6dqIWiCLc,2
fx9Px1c0Py05wsvYBZgjR,8
fx9Px1c0Py05wsvYBZgjR,9
fx9Px1c0Py05wsvYBZgjR,5
f6YvQ7GwQcBSlxqH7mBk7,19
f6YvQ7GwQcBSlxqH7mBk7,2
f6YvQ7GwQcBSlxqH7mBk7,3
fR1pQCOFIu3olJl2oHGT9,8
fR1pQCOFIu3olJl2oHGT9,2
fqTl66I8sNNQgmIYRetgx,8
fqTl66I8sNNQgmIYRetgx,2
fqTl66I8sNNQgmIYRetgx,3
fpXuiXFyswQ1wIW0a0EaV,8
fpXuiXFyswQ1wIW0a0EaV,11
fREj9OQel7ZKwTJfrxZbT,8
fREj9OQel7ZKwTJfrxZbT,3
fREj9OQel7ZKwTJfrxZbT,9
fDlg8adYnRq9KVits6yJ0,19
fDlg8adYnRq9KVits6yJ0,14
fDlg8adYnRq9KVits6yJ0,8
fDlg8adYnRq9KVits6yJ0,13
fDlg8adYnRq9KVits6yJ0,1
fDlg8adYnRq9KVits6yJ0,2
fBpv3P2uVBnZwFvnT3Atn,8
fBpv3P2uVBnZwFvnT3Atn,13
fBpv3P2uVBnZwFvnT3Atn,1
fBpv3P2uVBnZwFvnT3Atn,3
fBpv3P2uVBnZwFvnT3Atn,9
fDEB7xmM6GF0jtogHdmxz,8
fDEB7xmM6GF0jtogHdmxz,13
fDEB7xmM6GF0jtogHdmxz,1
fDEB7xmM6GF0jtogHdmxz,7
fDEB7xmM6GF0jtogHdmxz,9
fDEB7xmM6GF0jtogHdmxz,22
fDEB7xmM6GF0jtogHdmxz,23
fValrc6P3RVxsXnoxEHvj,14
fValrc6P3RVxsXnoxEHvj,8
fValrc6P3RVxsXnoxEHvj,7
fValrc6P3RVxsXnoxEHvj,9
fValrc6P3RVxsXnoxEHvj,17
fn7LXAIODfJ0cTNoL5u9F,8
fn7LXAIODfJ0cTNoL5u9F,2
fn7LXAIODfJ0cTNoL5u9F,10
fvwv2ljuzxU3igZcO4yjJ,8
fvwv2ljuzxU3igZcO4yjJ,1
fvwv2ljuzxU3igZcO4yjJ,2
fvwv2ljuzxU3igZcO4yjJ,3
fvwv2ljuzxU3igZcO4yjJ,4
fvwv2ljuzxU3igZcO4yjJ,7
fvwv2ljuzxU3igZcO4yjJ,9
fvwv2ljuzxU3igZcO4yjJ,5
fY9XoNSa71UehjbvIOJ8w,14
fY9XoNSa71UehjbvIOJ8w,13
fY9XoNSa71UehjbvIOJ8w,1
fY9XoNSa71UehjbvIOJ8w,2
fY9XoNSa71UehjbvIOJ8w,3
fY9XoNSa71UehjbvIOJ8w,4
fY9XoNSa71UehjbvIOJ8w,6
fY9XoNSa71UehjbvIOJ8w,7
fY9XoNSa71UehjbvIOJ8w,16
fWqz0Pe2I5QlC3QA31lT2,8
fWqz0Pe2I5QlC3QA31lT2,3
fWqz0Pe2I5QlC3QA31lT2,24
fWqz0Pe2I5QlC3QA31lT2,9
fNeCMnc0bEOIkg3AhukLW,8
fNeCMnc0bEOIkg3AhukLW,1
fNeCMnc0bEOIkg3AhukLW,2
fNeCMnc0bEOIkg3AhukLW,3
fNeCMnc0bEOIkg3AhukLW,4
fNeCMnc0bEOIkg3AhukLW,6
fNeCMnc0bEOIkg3AhukLW,7
fNeCMnc0bEOIkg3AhukLW,9
fNeCMnc0bEOIkg3AhukLW,5
fpxqvzAixlGf0ylqP76Xs,8
fpxqvzAixlGf0ylqP76Xs,2
fpxqvzAixlGf0ylqP76Xs,3
fpxqvzAixlGf0ylqP76Xs,9
fZzVJZc6czjRYa8Z88Am5,8
fZzVJZc6czjRYa8Z88Am5,3
fZzVJZc6czjRYa8Z88Am5,18
fBqDKIZD1jbdolLuCXQLw,8
fBqDKIZD1jbdolLuCXQLw,2
fBqDKIZD1jbdolLuCXQLw,18
fBqDKIZD1jbdolLuCXQLw,9
fqs1K0DLnFegJUZRxpDdE,14
fqs1K0DLnFegJUZRxpDdE,8
fqs1K0DLnFegJUZRxpDdE,1
fqs1K0DLnFegJUZRxpDdE,2
fqs1K0DLnFegJUZRxpDdE,7
fRRdLiG4bv0VLWblGavns,8
fRRdLiG4bv0VLWblGavns,18
fRRdLiG4bv0VLWblGavns,7
fRRdLiG4bv0VLWblGavns,9
fRRdLiG4bv0VLWblGavns,17
fRRdLiG4bv0VLWblGavns,15
fRRdLiG4bv0VLWblGavns,5
fRRdLiG4bv0VLWblGavns,23
f0i4tJenuSL6PgjIhxSae,19
f0i4tJenuSL6PgjIhxSae,13
f0i4tJenuSL6PgjIhxSae,3
f0i4tJenuSL6PgjIhxSae,18
f0i4tJenuSL6PgjIhxSae,9
fCrd6vHxX18MVte5ESy1y,8
fCrd6vHxX18MVte5ESy1y,2
fCrd6vHxX18MVte5ESy1y,3
fSYb86QyIdykGct0HdO6m,8
fSYb86QyIdykGct0HdO6m,9
fSYb86QyIdykGct0HdO6m,23
f6D83j4d7LuMywYSkUgz4,8
f6D83j4d7LuMywYSkUgz4,13
f6D83j4d7LuMywYSkUgz4,2
f6D83j4d7LuMywYSkUgz4,3
f6D83j4d7LuMywYSkUgz4,21
f6D83j4d7LuMywYSkUgz4,18
f6D83j4d7LuMywYSkUgz4,11
f6D83j4d7LuMywYSkUgz4,6
fpNZv1hmyFowgXg4X2n0A,13
fpNZv1hmyFowgXg4X2n0A,3
fpNZv1hmyFowgXg4X2n0A,4
fpNZv1hmyFowgXg4X2n0A,11
fpNZv1hmyFowgXg4X2n0A,7
fpNZv1hmyFowgXg4X2n0A,9
fkVNQcDADOmmgI53i9lLw,8
fkVNQcDADOmmgI53i9lLw,2
fkVNQcDADOmmgI53i9lLw,3
fkVNQcDADOmmgI53i9lLw,12
fUSx7aNtwxvJLz80Akldo,13
fUSx7aNtwxvJLz80Akldo,2
fUSx7aNtwxvJLz80Akldo,10
fUSx7aNtwxvJLz80Akldo,3
fUSx7aNtwxvJLz80Akldo,4
fDGI12EFq5rEDm5XNmB3r,3
fDGI12EFq5rEDm5XNmB3r,9
f8k2pS09ZleDSEite16WE,8
fRv3CNRDZOFDPINgYnNhV,19
fRv3CNRDZOFDPINgYnNhV,13
fRv3CNRDZOFDPINgYnNhV,1
fRv3CNRDZOFDPINgYnNhV,2
fRv3CNRDZOFDPINgYnNhV,7
fRv3CNRDZOFDPINgYnNhV,9
fJZb3MvURURKxy4Qh7aKJ,8
fJZb3MvURURKxy4Qh7aKJ,3
fJZb3MvURURKxy4Qh7aKJ,11
fJZb3MvURURKxy4Qh7aKJ,9
fJZb3MvURURKxy4Qh7aKJ,5
fhTFJ6hhP3o15hPo5IsBD,8
fhTFJ6hhP3o15hPo5IsBD,3
fhTFJ6hhP3o15hPo5IsBD,5
fgBoM3ZiKG8PyHQLSuvle,8
fgBoM3ZiKG8PyHQLSuvle,2
fLeTrvsqBqUG9CpeX39CF,8
fLeTrvsqBqUG9CpeX39CF,1
fLeTrvsqBqUG9CpeX39CF,2
fLeTrvsqBqUG9CpeX39CF,4
fLeTrvsqBqUG9CpeX39CF,6
fLeTrvsqBqUG9CpeX39CF,7
fLeTrvsqBqUG9CpeX39CF,5
fVEwE1ddeu1XQ33EA8szm,2
fVEwE1ddeu1XQ33EA8szm,10
fVEwE1ddeu1XQ33EA8szm,9
fVEwE1ddeu1XQ33EA8szm,12
fnndw3I6B3NXyZPC2SQq9,13
fnndw3I6B3NXyZPC2SQq9,1
fnndw3I6B3NXyZPC2SQq9,2
fnndw3I6B3NXyZPC2SQq9,7
fnndw3I6B3NXyZPC2SQq9,9
fjPRZwZDEuTluGf1ESLTe,2
fjPRZwZDEuTluGf1ESLTe,10
fjPRZwZDEuTluGf1ESLTe,3
f6vfKRSGjjMRYmRfB6EWX,2
f6vfKRSGjjMRYmRfB6EWX,3
f6vfKRSGjjMRYmRfB6EWX,9
fMnpAOOSa2LfBvYzm2tSz,8
fMnpAOOSa2LfBvYzm2tSz,2
fMnpAOOSa2LfBvYzm2tSz,18
fMnpAOOSa2LfBvYzm2tSz,9
fG6WPVgrEnPtRmKtr3hOC,8
fG6WPVgrEnPtRmKtr3hOC,1
fG6WPVgrEnPtRmKtr3hOC,2
fG6WPVgrEnPtRmKtr3hOC,6
fG6WPVgrEnPtRmKtr3hOC,7
fG6WPVgrEnPtRmKtr3hOC,9
fLWBz7pQjNWuhYlS4b1q7,2
fedBHFZZDa6ONwvfnny7b,8
fedBHFZZDa6ONwvfnny7b,2
fTlsNN32xwEM5l9XbrYKc,8
fTlsNN32xwEM5l9XbrYKc,2
fTlsNN32xwEM5l9XbrYKc,9
fyWRWEV0xXNuwQvPl8BNI,8
fyWRWEV0xXNuwQvPl8BNI,1
fyWRWEV0xXNuwQvPl8BNI,4
fyWRWEV0xXNuwQvPl8BNI,11
fyWRWEV0xXNuwQvPl8BNI,7
fX8nal71nWrVylX7EFTHd,8
fX8nal71nWrVylX7EFTHd,3
fX8nal71nWrVylX7EFTHd,11
fX8nal71nWrVylX7EFTHd,7
fX8nal71nWrVylX7EFTHd,25
f5dN43yKqmtRwwey7YmVy,8
f5dN43yKqmtRwwey7YmVy,2
f5dN43yKqmtRwwey7YmVy,3
f5dN43yKqmtRwwey7YmVy,15
f5dN43yKqmtRwwey7YmVy,23
fvP45bkNBTScXVaZwArDA,8
fvP45bkNBTScXVaZwArDA,2
fvP45bkNBTScXVaZwArDA,26
fvP45bkNBTScXVaZwArDA,9
f6CCx5hJJmWDpqNqQgGZR,2
f6CCx5hJJmWDpqNqQgGZR,3
f6CCx5hJJmWDpqNqQgGZR,7
f6CCx5hJJmWDpqNqQgGZR,9
fUUYKjpIekDNOSbDnTBty,8
fUUYKjpIekDNOSbDnTBty,2
fUUYKjpIekDNOSbDnTBty,3
fVVmuVVLuZ2TWgE9595wS,9
fVVmuVVLuZ2TWgE9595wS,27
f2d6qQ0VXjmsQU930FSij,8
f2d6qQ0VXjmsQU930FSij,2
f2d6qQ0VXjmsQU930FSij,3
f2d6qQ0VXjmsQU930FSij,7
f2d6qQ0VXjmsQU930FSij,12
fYc1m1VlpvAg3y4pWgQGG,6
fpaRPvOq4304S8QR7WQaH,8
fpaRPvOq4304S8QR7WQaH,3
fzVmkP4DJ8jAY1lS9JxnC,8
fzVmkP4DJ8jAY1lS9JxnC,2
fzVmkP4DJ8jAY1lS9JxnC,3
fzVmkP4DJ8jAY1lS9JxnC,11
f2msdQjBcfaQcEHeJv9JX,2
f2msdQjBcfaQcEHeJv9JX,3
f2msdQjBcfaQcEHeJv9JX,9
fbbEEk4o4hVMBAgzsQERY,10
fbbEEk4o4hVMBAgzsQERY,3
fbbEEk4o4hVMBAgzsQERY,18
fbbEEk4o4hVMBAgzsQERY,9
fbbEEk4o4hVMBAgzsQERY,12
fBqThTvUKZvPSisnmahb0,13
fBqThTvUKZvPSisnmahb0,10
fBqThTvUKZvPSisnmahb0,11
fBqThTvUKZvPSisnmahb0,7
fBqThTvUKZvPSisnmahb0,27
fzGs0kY8RNS7qYpzAi696,19
fzGs0kY8RNS7qYpzAi696,14
fzGs0kY8RNS7qYpzAi696,11
fzGs0kY8RNS7qYpzAi696,7
fzGs0kY8RNS7qYpzAi696,17
fzcCogoEOtP7Ek16Rr83x,14
fzcCogoEOtP7Ek16Rr83x,8
fzcCogoEOtP7Ek16Rr83x,9
fbbMFZSAGKFV2k44KdX7l,2
fbbMFZSAGKFV2k44KdX7l,10
fbbMFZSAGKFV2k44KdX7l,9
fdWBYAiFG2LGbMDPbMVUI,3
fdWBYAiFG2LGbMDPbMVUI,9
fAEWRhXy8MinSiGWO7Iin,1
fAEWRhXy8MinSiGWO7Iin,2
fAEWRhXy8MinSiGWO7Iin,3
fAEWRhXy8MinSiGWO7Iin,7
f4J0fjed2Z9EfgXJwpgwq,14
f4J0fjed2Z9EfgXJwpgwq,8
f4J0fjed2Z9EfgXJwpgwq,1
f4J0fjed2Z9EfgXJwpgwq,2
f4J0fjed2Z9EfgXJwpgwq,10
f4J0fjed2Z9EfgXJwpgwq,3
f4J0fjed2Z9EfgXJwpgwq,4
f4J0fjed2Z9EfgXJwpgwq,6
f41pRypsoTi0YxVdcZDkM,8
f41pRypsoTi0YxVdcZDkM,2
f41pRypsoTi0YxVdcZDkM,3
fHeVxfUx2bCj6ZtuBRLyY,8
fSDaP0U3mHGCA2V8QCQQb,13
fSDaP0U3mHGCA2V8QCQQb,2
fSDaP0U3mHGCA2V8QCQQb,4
fSDaP0U3mHGCA2V8QCQQb,7
fSDaP0U3mHGCA2V8QCQQb,9
fuu6EHh6CrcbpL1J8TDiF,8
fuu6EHh6CrcbpL1J8TDiF,3
