item_sno,name,image,particle_no,grade_no
fzwWbsHrZxEyEiiWAAnTH,웰스비 퍼피 새끼 강아지 유기농 가수분해 사료,15478360299.20200618142428.jpg,2,1
fllPwC0bzxII5tvLqmI1c,지위픽 독 식품 뉴질랜드산 사료 소고기 함온세,82580763469.13.jpg,1,3
fFBLRCJMEubelAH7ijLcF,반해 l 파미나 샘플 미니 바이트 / 적합성&기호도 테스트용,82685823794.jpg,1,2
fKI5qv8OSbxqmTlWocTEW,몬트인섹트 강아지 곤충사료 하이포알러제닉 눈물자국 알러지 기호성 전연령,2206634-57aaafcf-d5f6-46f2-93fa-722b0e588fae.jpg,1,3
fQ1pDluYi6qhlwgTxg4ZE,아침애사료 가수분해 강아지 수제사료 오리 연어 감자,11912613845.6.jpg,1,2
fl4lhZeG08PVHPjTMO5FB,게더 프리에이커 치킨 사료,82655287636.7.jpg,1,1
fcZe0nFzLIfJ6dqIWiCLc,벨포아 미니 밀웜 인섹트 강아지 사료,83380566773.6.jpg,1,3
fx9Px1c0Py05wsvYBZgjR,더리얼그레인프리 오븐베이크드 연어 어덜트,23334980490.20200702195806.jpg,1,3
f6YvQ7GwQcBSlxqH7mBk7,나우 그레인프리 스몰브리드 어덜트수제간식,8454349575.10.jpg,2,3
fEhkYAe36Mf5n24eFOqqw,지위픽 독식품 지위픽사료 양고기 트라이프,11758519132.7.jpg,1,3
fR1pQCOFIu3olJl2oHGT9,벨포아 사료 인섹트 강아지눈물 곤충 알러지 퍼피 미니,83122506098.1.jpg,1,3
fqTl66I8sNNQgmIYRetgx,ANF 6프리 플러스 소고기&연어 강아지사료,81593905164.7.jpg,2,3
fpXuiXFyswQ1wIW0a0EaV,힐스 강아지 반려견 독 처방사료 cd c/d 멀티케어,83594855003.3.jpg,1,2
fREj9OQel7ZKwTJfrxZbT,하이독 강아지 화식 자연식 특식,83557967393.2.jpg,1,2
fDlg8adYnRq9KVits6yJ0,네츄럴코어 베네 M60 강아지사료,16041503632.20181109104809.jpg,1,2
fBpv3P2uVBnZwFvnT3Atn,씽크라이크펫 강아지 화식 자연식 수제 사료 24팩,82785788613.8.jpg,1,2
fDEB7xmM6GF0jtogHdmxz,도그랑 진도 골드,21048489355.20191009150552.jpg,1,2
fhk2w9aMd1jCEw9ytObdz,테라카니스 강아지 습식사료 습식캔 주식캔 그레인프리 저알러지 미니토끼,81099480912.14.jpg,1,3
fValrc6P3RVxsXnoxEHvj,NOW 스몰 브리드 피쉬 어덜트,22965327490.20200526161146.jpg,1,3
fn7LXAIODfJ0cTNoL5u9F,인섹트도그 하이포알러지 미니바이트,81342638211.25.jpg,3,3
fvwv2ljuzxU3igZcO4yjJ,네츄럴코어 에코 2 오리고기 작은알갱이,11857765392.20191231162741.jpg,1,1
fY9XoNSa71UehjbvIOJ8w,네츄럴코어 센시티브케어 밀웜 사료,29425387620.20211027143519.jpg,1,1
fWqz0Pe2I5QlC3QA31lT2,프롬벳 강아지 습식사료 오도독 삼계죽,83854110811.1.jpg,1,4
fNeCMnc0bEOIkg3AhukLW,ANF 6프리 플러스 오리고기 연어,22470209655.20200929114554.jpg,1,1
fpxqvzAixlGf0ylqP76Xs,피니키 사료 하이포알러지 가수분해 연어,82275455912.15.jpg,1,2
fZzVJZc6czjRYa8Z88Am5,나우 사료 프레쉬 스몰브리드 어덜트,82188673144.16.jpg,2,2
fBqDKIZD1jbdolLuCXQLw,아카나 라이트앤피트소분포장+모짜렐라치즈+봉제인형,83191248365.2.jpg,1,3
fqs1K0DLnFegJUZRxpDdE,인섹트도그 하이포알러지 미니 눈물사료 샘플증x5,84553168931.jpg,1,2
fRRdLiG4bv0VLWblGavns,더리얼그레인프리 오븐베이크드 닭고기 어덜트,21829639636.20200529100448.jpg,1,3
f0i4tJenuSL6PgjIhxSae,테라카니스 카니레오 강아지사료,20931990809.20190923125637.jpg,1,2
fCrd6vHxX18MVte5ESy1y,반해 l 파미나 N&D 펌프킨 멧돼지&사과 미니 바이트) / 계량컵&급여량 계산,82095394996.jpg,1,2
fSYb86QyIdykGct0HdO6m,강아지 샘플 사료 기호성 테스트,83442562089.10.jpg,1,3
f6D83j4d7LuMywYSkUgz4,밥이보약 DOG 튼튼한 관절,20881605462.20200609112307.jpg,1,2
fpNZv1hmyFowgXg4X2n0A,닥터독 관절 양고기 사료,15469973388.20190712130700.jpg,1,1
fkVNQcDADOmmgI53i9lLw,라포그 사료 리얼 인섹트 곤충 밀웜 저알러지 추가 라포그덴탈츄3p,83472968364.1.jpg,1,2
fUSx7aNtwxvJLz80Akldo,네츄럴랩 케어1 강아지 가수분해 사료 유기농 70% 이상 1등급 유산균 관절 눈물,83088353295.1.jpg,1,1
fDGI12EFq5rEDm5XNmB3r,위시본 독 사료 그레인프리 소고기 함온세,82411974193.11.jpg,1,2
f8k2pS09ZleDSEite16WE,아스쿠 펠리쿠치나 연어 소프트사료,81663527611.2.jpg,2,3
fRv3CNRDZOFDPINgYnNhV,아보덤내추럴 조인트헬스 그레인프리,14890254194.20211112100807.jpg,1,3
fJZb3MvURURKxy4Qh7aKJ,로얄캐닌 세타이어티 웨이트 매니지먼트 스몰독 강아지,83403152497.4.jpg,1,2
fhTFJ6hhP3o15hPo5IsBD,독 랍스터 저알러지 사료 샘플3개,82295216327.5.jpg,1,3
fgBoM3ZiKG8PyHQLSuvle,내추럴발란스 강아지사료 울트라 내발사료,11063593509.8.jpg,1,3
fLeTrvsqBqUG9CpeX39CF,벨포아 하이포알러제닉 슈마우스 미니,27536034522.20210611153315.jpg,1,3
fVEwE1ddeu1XQ33EA8szm,아카나 퍼피 스몰브리드 강아지사료,83273745276.2.jpg,1,2
fC4R4CAtbvvbZf7o9WA6N,7H 세븐아워 조인트케어,82403357090.jpg,1,2
f9HgoQa1ugPDQQpFi17KQ,빵근맘마 기력회복 강아지 습식사료 세트,82326859895.1.jpg,1,1
fOoTe8zSsgcFynBbFWOaf,7H 세븐아워 스킨케어,82431393088.2.jpg,1,2
fnndw3I6B3NXyZPC2SQq9,네츄럴프로세스 강아지사료 센서블 관절케어 교감 치킨+연어스틱10봉,82186511326.20.jpg,1,3
fjPRZwZDEuTluGf1ESLTe,위시본 연어고기 사료 강아지사료,80119873355.4.jpg,1,2
f6vfKRSGjjMRYmRfB6EWX,반해 l 파미나 N&D 펌프킨 멧돼지&사과 미니 바이트 / 계량컵&급여량 계산,82090464741.jpg,1,2
fMnpAOOSa2LfBvYzm2tSz,하림펫푸드 더리얼 그레인프리 크런치 닭고기 어덜트,82392378625.2.jpg,1,3
fG6WPVgrEnPtRmKtr3hOC,펫큐리안 고 솔루션 LID 연어 레시피,24150379523.20200914145750.jpg,1,3
fLWBz7pQjNWuhYlS4b1q7,"허즈 미국산 칠면조 가슴살 사료 - 알러지, 눈물",82848403311.6.jpg,1,3
fedBHFZZDa6ONwvfnny7b,더 텐 버틀러 사료 더텐 소프트 인섹트 알러지케어 the ten soft,83619929759.10.jpg,2,2
fTlsNN32xwEM5l9XbrYKc,아침애사료 가수분해 오리 연어 감자 수제사료,80568495383.6.jpg,1,2
fyWRWEV0xXNuwQvPl8BNI,하이독 눈 기능식 사료 백내장 눈곱 케어브이 라이트 루아틴,1035183-e00e50a5-e50f-44b6-87ea-2c21e529782e.png,1,2
fX8nal71nWrVylX7EFTHd,하이독 기관지 기능식 사료 기침 가래 헐떡거림 케어브이 라이트 브리틴,1035183-9a883c06-9d46-4e15-95f4-2ffb36d0f217.png,1,2
f5dN43yKqmtRwwey7YmVy,비고앤세이지 아스트라갈러스 웰빙 시니어독 노령견 노견 강아지 알러지 후코이단 사료,82917592425.1.jpg,1,3
fvP45bkNBTScXVaZwArDA,인섹트라 하이포알러지 강아지 눈물관절에 좋은 사료 그레인프리,83317892847.3.jpg,1,3
f6CCx5hJJmWDpqNqQgGZR,인섹트도그 피부 눈물 알러지 밀웜 사료++밀웜껌,83086651733.9.jpg,3,3
fUUYKjpIekDNOSbDnTBty,아카나 프리런덕+소분봉투+모짜렐라치즈+봉제인형,81611008249.2.jpg,3,3
fVVmuVVLuZ2TWgE9595wS,프론티어 사료 동결건조 치킨,82714565247.12.jpg,1,2
f2d6qQ0VXjmsQU930FSij,내추럴발란스 오리지날 울트라 그레인프리 닭 보리 포뮬라 작은알갱이,22174383026.20220302121237.jpg,2,2
fYc1m1VlpvAg3y4pWgQGG,스텔라앤츄이스 탄탈라이징 터키 디너패티,31243327619.20220310094902.jpg,1,3
fpaRPvOq4304S8QR7WQaH,대형견 사료 도그온,80071931411.7.jpg,1,2
fzVmkP4DJ8jAY1lS9JxnC,go 고 연어 LID수제간식,8454160001.10.jpg,1,3
f2msdQjBcfaQcEHeJv9JX,반해 l 카르나4 강아지 샘플 / 적합성&기호도 테스트용,83128778022.jpg,1,2
fbbEEk4o4hVMBAgzsQERY,맥아담스 방목 치킨 사료 소형견용,21047893041.20191009113517.jpg,1,3
fBqThTvUKZvPSisnmahb0,하이독 당뇨 기능식 사료 저탄수 저지방 혈당관리 케어브이 라이트 다베틴,1035183-c4b52540-ac05-40a1-b383-704d75b38066.png,1,2
fzGs0kY8RNS7qYpzAi696,하이독 구강 기능식 사료 입냄새 치석 출혈 염증 케어브이 라이트 덴프틴,1035183-6c31d0b4-c131-4400-9979-762dfa4a0cda.png,1,2
fzcCogoEOtP7Ek16Rr83x,위시본 독 그레인프리 강아지사료 애견사료 소고기,82054901013.4.jpg,1,3
fKFGPW7B49nLuRDwnJzBx,오가닉스토리 연어 가수분해 건식 눈물 사료 비숑 말티즈 푸들 하이포알러제닉,82429573725.1.jpg,1,1
fbbMFZSAGKFV2k44KdX7l,ANF 6FREE 사료 애견 사료,12212162908.70.jpg,2,1
fdWBYAiFG2LGbMDPbMVUI,TOW 토우사료 그레인프리 강아지사료,83131866826.jpg,1,3
fAEWRhXy8MinSiGWO7Iin,고내추럴 고 LID 그레인프리 칠면조,12947259591.20171212143854.jpg,1,2
f4J0fjed2Z9EfgXJwpgwq,네츄럴코어 에코6 센시티브솔루션 연어 큰알갱이,24182390526.20200917104515.jpg,1,1
f41pRypsoTi0YxVdcZDkM,피니키 사료 가수분해 하이포알러지 양고기,82254288787.15.jpg,1,1
fHeVxfUx2bCj6ZtuBRLyY,네츄럴오 강아지/애견 사료,13381976237.3.jpg,1,1
fSDaP0U3mHGCA2V8QCQQb,청담닥터스랩 강아지 애견 가수분해 조인트 사료,82912351748.24.jpg,1,2
fuu6EHh6CrcbpL1J8TDiF,펫컴 미국 프리미엄 솔리드골드 마이티미니 치킨 전연령 반려견 강아지 사료,82210568859.4.jpg,1,2
f2y2XmBlBNrNmjwCxm8YZ,라포그 리얼인섹트 강아지 곤충사료또는 라포그덴탈츄3p,83508480103.jpg,1,2
fG3Ocu3k8DTfcUSyLY6ut,허즈사료 알러지 눈물사료,82525049083.2.jpg,1,3
fQpVmdaRz8CIGnPx8nwBJ,본아페티 플러스 강아지 눈물 눈 건강 연어 수제사료 저알러지 프리미엄 사료,84530132141.1.jpg,1,2
fitLrorXhz8OPJYh1eqg6,오픈팜 독 스튜 강아지 애견 회복식,83173839026.1.jpg,1,2
fMcu16nB5b5liVRPRg9da,테이스트오브와일드 토우 구운오리 고구마 강아지 사료,15977764780.20200520115552.jpg,1,3
fwNMzkCuw30qELrppGJBY,피니키 강아지백내장 예방 가수분해 하이포알러지 사료,82335113929.6.jpg,1,3
fXlDEX0EoLTUa9f0GBR71,더리얼그레인프리 크런치 소고기 어덜트,20034949538.20190703171719.jpg,1,3
fZGC6rX55BAjWgT217USW,속이 편한 강아지 발효사료 소프트발란스 기호성 좋은 반습식 피부와 위장,82901469585.2.jpg,1,2
fIIaYuMQTwkajaXs5Kp8D,본아페티 플러스 프리미엄 강아지 눈건강 연어 수제사료,84530132142.1.jpg,1,2
fYzmCLo9xiaoWWK35Yir4,다빈치소분포장 피부 알러지 가수분해 맛있는 생육 강아지사료,81933012163.6.jpg,2,3
fKjJ02C6hWWlBi9LyruFF,레시펫 수비드 강아지화식 저지방 3세대 자연식 골라담기,83280887781.2.jpg,1,2
f1ghD0upGfa87PJ4ZxHxN,피쉬포독 화이트피쉬 어덜트,21200009813.20210813154759.jpg,2,3
f9DZAYBBnUTAGGmQF3yjv,라포그 사료 리얼 인섹트 곤충 밀웜 저알러지 추가 라포그덴탈츄5p,84282301276.jpg,1,2
fS3gGdCbcrw1pNx91wXL7,지그니쳐 그레인프리 강아지 눈물사료 송어 연어 알러지사료,12303227065.4.jpg,1,3
feowyKJkrwieEhQLimVfL,강아지 사료 샘플 / 마이펫닥터 인섹트 더 제로 알러지 / 시그니처 유기농 70%이상 함유 오가닉 사료,80664008711.6.jpg,2,1
fFD5nO7mHnY4eWt3Hpl1n,네츄럴랩 케어3 피부 알러지 유기농 기능성 사료,30961751618.20220216171650.jpg,1,1
fF44brFlINUaTJ6YDZXQj,ANF 6free 플러스 소고기연어 등,84529650651.jpg,1,1
f6Z3kMI5cZMcWrQ0Yi7JK,엔토벳 인섹트 강아지곤충사료 하이포알러제닉 그레인프리 설채현사료 어덜트 독,84237500592.3.jpg,1,3
fU7WevCghJdkkDPnU4UCF,Herz 허즈사료 샘플 LID 강아지 알러지 눈물사료,82046445072.1.jpg,1,3
fnCzxKDV1RD5Oy9bdGEW3,아카나 어덜트 스몰브리드+소분포장+모짜렐라치즈+봉제인형,81999779850.2.jpg,2,3
fj3E2iWK3eIjuvBQ1WnW3,ANF 램 홀리스틱 올라이프 스테이지 중간 입자,31200005620.20220307105719.jpg,1,2
fcDoSYXM35mw7UXC85gDb,베네핏 처방식 싱글프로틴 강아지 사료,82511049684.3.jpg,1,2
fSSS1FeGwzie6I4MpritF,오리젠 피트앤트림 독+소분봉투 밀크야채크래커 봉제인형,82095818543.2.jpg,3,3
fOv0Ovj7P3Xaqgn7kuj7R,강아지 화식 20팩 이상 골라담기,82955651725.3.jpg,1,2
fEmuVr6RvCcFSwxi0ST9g,더리얼그레인프리 오븐베이크드 소고기 어덜트,23181817490.20200617180815.jpg,1,3
fQ7Ta0FW2i636fXdeb78y,피너클 송어 고구마,21183470560.20220516162023.jpg,1,2
f11czGYWFVY1g6EePAoM3,프로네이처 독 라이프 핏 그린 대용량 대형견 홀리스틱 그레인프리 강아지사료,83015749984.2.jpg,1,2
fuWSg3MhFRws8a5Qgx0EA,뉴질랜드 자연방목 위시본 강아지 사료 연어,83002972635.1.jpg,1,1
fMqcvggtOfw6RqscWUyAJ,강아지 화식 습식 사료 수제 간식 아침한끼 연어 먹어보개,84204575457.2.jpg,1,2
f7XAK3LYIMzmOpdC2tx5D,테이스트오브네이처 강아지 화식 자연식,82490982911.5.jpg,1,2
fWjpEByKKE7AsHc3TPTJu,더리얼그레인프리 오븐베이크드 소고기 시니어,24150464522.20201215143957.jpg,1,3
fot47RKi5NcMibyOFdEJ6,강아지 반건조 사료 소프트밥 반습식사료,81786983927.1.jpg,1,2
fPZlECdXlEQnLrKCpvme4,아보덤 조인트헬스 그레인프리 피부 관절사료,12994954195.9.jpg,1,3
fOF8CycIIso1LfmVwN479,오리젠 6 식스 피쉬 독,11540117219.2.jpg,1,2
fSNp5oztbjpYDmzIyUhKv,지위픽 독 식품 닭고기,20809095551.20190904095002.jpg,1,3
fynGeO2aynxFAEoDTVwzu,로얄캐닌 강아지사료 미니인도어 어덜트 대용량 무료배송 이벤트 행사,81776955621.3.jpg,1,2
fChjv8IeoJZ6d5oVQaxKW,지위픽 독식품 트라이프 양고기,14871387658.20220729162109.jpg,1,3
fLatnafdpVaSJQ9s6Bvf0,내추럴발란스 LID 닭고기 고구마 도그 포뮬라,22166903740.20210301120133.jpg,2,2
fcIamF4JXrVtT4HIgnD63,라포그 사료 추가 리얼 인섹트 관절 강아지 저알러지,84483643737.1.jpg,1,2
fNG0ab5Uq9Lzp0cwIaIdt,버틀러 더텐 소프트 알러지케어 인섹트,1665057-1eb04188-5a95-49e8-a221-d5239873f6fa.png,1,2
f81AESr2ZYhfOCbP9SHaj,하이독 강아지화식 주식 특식 수제사료 오리불고기,9834765290.14.jpg,1,2
f60KS51xdhyr66vK8perh,힐스 강아지 독 메타볼릭 metabolic 다이어트 체중관리 당뇨 사료,83834888709.3.jpg,1,2
fT5Msh7gpWax9xYcgkw6f,버틀러 더텐소프트 비프&조인트케어 이크린 1매 10개 강아지 사료,84631060124.1.jpg,2,1
fKdzQXegQF5xkUfOwbBoM,세니메드 강아지 처방사료 / / 대용량 이벤트 행사,83323865009.jpg,1,2
fNvpb37z0yXRbJEOoPpyF,지위픽 독캔 강아지캔 사슴고기 습식사료,83170610267.5.jpg,1,2
fSVPfGDQUAfXGoY3VPzhb,워프 와일드베니슨 동결건조 전연령 사료,28303619554.20210805112649.jpg,1,3
fkQAvPDAZccOATSBrrIjo,아미오 홀리스틱 오리진 어덜트 시니어 슬림업,1665057-927b10b0-c8cb-43e1-892c-972584a401fa.png,1,2
f84CeLtW4Ydgg6q0eSkus,게더 엔드리스 벨리 비건 레시피,20335644107.20190722121020.jpg,1,1
fMWpJkXKu3U7M3cDM6xwV,프론티어 동결건조 사료 포크,82710496482.4.jpg,3,3
f58Hn3iuoZT4m23BIw0oM,닥터독 다이어트 칠면조 사료,15470049004.20190712130633.jpg,1,1
fsvJ62v5uzzZxKRS5vNx2,로투스 도그 오븐베이크드 시니어 사료,82222558824.12.jpg,1,3
f7kGXDSAwahLxbPmnflKa,요세라독 하이포알러제닉 강아지사 소형견 중형견 대형견 그레인프리 다이어트 알러지,83825412444.5.jpg,1,3
fX5kv8acVWXjKw3hj7JrZ,헤일로 강아지사료 어덜트 저알러지식 가든오브비건,82977887387.3.jpg,1,2
